股票代码,股票名称,上榜日期,解读,收盘价,涨跌幅,换手率,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,流通市值,上榜原因
000506,*ST中润,2024-05-10,2家机构卖出，成功率42.58%,3.74,-5.0761,0.0756,-1835586.0,1360200.0,3195786.0,4555986.0,6265193.0,-29.298155699274,72.71900482555,3473229394.14,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000622,*ST恒立,2024-05-10,1家机构卖出，成功率41.91%,1.99,-4.7847,0.0313,-434723.0,324837.0,759560.0,1084397.0,791999.0,-54.889336981486,136.918986008821,846199740.0,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000809,*ST新城,2024-05-10,普通席位买入，成功率44.24%,2.12,1.9231,4.9473,3509576.5,14628108.5,11118532.0,25746640.5,91082075.0,3.853202180561,28.267516413081,1748557541.16,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000851,ST高鸿,2024-05-10,2家机构卖出，成功率52.67%,3.52,-5.1213,0.0884,-2932548.08,2396425.0,5328973.08,7725398.08,8993889.0,-32.606007034332,85.896079882685,3983493525.44,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000899,赣能股份,2024-05-10,主力做T，成功率49.51%,11.75,10.0187,9.5916,37803364.96,127079018.96,89275654.0,216354672.96,1058349529.0,3.571916831268,20.44264839088,11464213680.0,日涨幅偏离值达到7%的前5只证券
000952,广济药业,2024-05-10,主力做T，成功率17.84%,6.5,-9.9723,11.0814,-17193052.36,14304649.24,31497701.6,45802350.84,257987874.0,-6.664287004435,17.753683585919,2235919497.5,日跌幅偏离值达到7%的前5只证券
000971,*ST高升,2024-05-10,主力做T，成功率56.14%,0.86,-5.4945,0.7113,-788772.08,10360806.0,11149578.08,21510384.08,71727197.0,-1.09968340182,29.989160290203,728126279.04,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000990,诚志股份,2024-05-10,主力做T，成功率37.70%,8.95,9.9509,7.7055,23663662.18,91964523.18,68300861.0,160265384.18,823182513.0,2.874655596577,19.46899765836,10876365198.25,日涨幅偏离值达到7%的前5只证券
001316,润贝航科,2024-05-10,1家机构买入，成功率45.97%,34.09,1.9743,31.1196,-7769169.0,62781266.0,70550435.0,133331701.0,320207078.0,-2.426295211376,41.639211048295,968750018.25,日换手率达到20%的前5只证券
001376,百通能源,2024-05-10,主力做T，成功率7.50%,23.0,6.2356,47.3479,-19248725.36,26600805.0,45849530.36,72450335.36,492887650.0,-3.905296746632,14.699158187469,1060070000.0,日换手率达到20%的前5只证券
001979,招商蛇口,2024-05-10,3家机构买入，成功率48.99%,9.82,9.9664,2.61,121075443.75,516817303.46,395741859.71,912559163.17,2059223478.0,5.879665079751,44.315693411592,81727536263.82,日涨幅偏离值达到7%的前5只证券
002076,星光股份,2024-05-10,普通席位买入，成功率50.14%,2.24,9.8039,0.8987,14738716.16,18421064.16,3682348.0,22103412.16,46145633.0,31.939568712818,47.899250098054,2322073897.92,连续三个交易日内，涨幅偏离值累计达到20%的证券
002124,ST天邦,2024-05-10,2家机构卖出，成功率27.31%,2.12,-4.9327,3.7539,-54790697.57,38116449.86,92907147.43,131023597.29,645174973.0,-8.492378015723,20.308226880028,3310612759.04,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
002197,ST证通,2024-05-10,主力做T，成功率53.33%,6.46,-5.0,0.0543,-1023034.0,1329532.0,2352566.0,3682098.0,4184144.0,-24.450257926113,88.001225579234,3451652690.52,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
002244,滨江集团,2024-05-10,2家机构买入，成功率38.21%,7.69,10.0143,5.0247,78819559.67,187898972.52,109079412.85,296978385.37,976351460.0,8.072867496916,30.417159961025,20434548872.6,日涨幅偏离值达到7%的前5只证券
002280,ST联络,2024-05-10,主力做T，成功率29.67%,1.48,-5.1282,0.1178,-2812087.72,2368232.0,5180319.72,7548551.72,9652404.0,-29.133547663359,78.20385180728,2966657849.56,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
